id,age,topic_id,phase,period,condition,score,order_group
20,24,3,intervention,1,combined,61,combined_first
20,24,3,intervention,2,control,64,combined_first
21,25,1,pretest,0,pretest,53,control_first
21,25,1,intervention,1,control,57,control_first
21,25,1,intervention,2,combined,61,control_first
21,25,2,pretest,0,pretest,60,combined_first
21,25,2,intervention,1,combined,62,combined_first
21,25,2,intervention,2,control,62,combined_first
21,25,3,pretest,0,pretest,45,control_first
21,25,3,intervention,1,control,45,control_first
21,25,3,intervention,2,combined,51,control_first
22,25,1,pretest,0,pretest,42,combined_first
22,25,1,intervention,1,combined,57,combined_first
22,25,1,intervention,2,control,51,combined_first
22,25,2,pretest,0,pretest,49,control_first
22,25,2,intervention,1,control,60,control_first
22,25,2,intervention,2,combined,59,control_first
22,25,3,pretest,0,pretest,35,combined_first
22,25,3,intervention,1,combined,58,combined_first
22,25,3,intervention,2,control,47,combined_first
23,24,1,pretest,0,pretest,54,control_first
23,24,1,intervention,1,control,66,control_first
23,24,1,intervention,2,combined,66,control_first
23,24,2,pretest,0,pretest,63,combined_first
23,24,2,intervention,1,combined,69,combined_first
23,24,2,intervention,2,control,69,combined_first
23,24,3,pretest,0,pretest,56,control_first
23,24,3,intervention,1,control,66,control_first
23,24,3,intervention,2,combined,66,control_first
24,19,1,pretest,0,pretest,41,combined_first
24,19,1,intervention,1,combined,40,combined_first
24,19,1,intervention,2,control,40,combined_first
24,19,2,pretest,0,pretest,40,control_first
24,19,2,intervention,1,control,40,control_first
24,19,2,intervention,2,combined,40,control_first
24,19,3,pretest,0,pretest,40,combined_first
24,19,3,intervention,1,combined,40,combined_first
24,19,3,intervention,2,control,40,combined_first
25,19,1,pretest,0,pretest,49,control_first
25,19,1,intervention,1,control,52,control_first
25,19,1,intervention,2,combined,52,control_first
25,19,2,pretest,0,pretest,39,combined_first
25,19,2,intervention,1,combined,49,combined_first
25,19,2,intervention,2,control,40,combined_first
25,19,3,pretest,0,pretest,41,control_first
25,19,3,intervention,1,control,39,control_first
25,19,3,intervention,2,combined,43,control_first
26,19,1,pretest,0,pretest,45,combined_first
26,19,1,intervention,1,combined,67,combined_first
26,19,1,intervention,2,control,58,combined_first
26,19,2,pretest,0,pretest,62,control_first
26,19,2,intervention,1,control,64,control_first
26,19,2,intervention,2,combined,70,control_first
26,19,3,pretest,0,pretest,60,combined_first
26,19,3,intervention,1,combined,69,combined_first
26,19,3,intervention,2,control,62,combined_first
27,25,1,pretest,0,pretest,55,control_first
27,25,1,intervention,1,control,52,control_first
27,25,1,intervention,2,combined,52,control_first
27,25,2,pretest,0,pretest,64,combined_first
27,25,2,intervention,1,combined,70,combined_first
