id,presentation_position,condition_code,condition,condition_cn,order_raw,bcis_self_reflect,bcis_self_certainty,bcis_total,pre_bcis_self_reflect,pre_bcis_self_certainty,pre_bcis_total,initial_nfc,autonomy_satisfaction,autonomy_frustration,competence_satisfaction,competence_frustration,relatedness_satisfaction,relatedness_frustration,normative_influence,informational_influence
28,3,1,control,对照,3 2 1 4 5,28,18,10,23,16,7,54,10,8,12,5,13,8,27,27
28,4,4,behavior,行为,3 2 1 4 5,28,18,10,23,16,7,54,10,8,12,5,13,8,27,27
28,5,5,environment,环境,3 2 1 4 5,28,18,10,23,16,7,54,10,8,12,5,13,8,27,27
29,1,2,concept,概念,2 1 4 5 3,29,16,13,29,16,13,26,11,14,8,11,12,11,28,32
29,2,1,control,对照,2 1 4 5 3,28,18,10,29,16,13,26,11,14,8,11,12,11,28,32
29,3,4,behavior,行为,2 1 4 5 3,27,16,11,29,16,13,26,11,14,8,11,12,11,28,32
29,4,5,environment,环境,2 1 4 5 3,29,16,13,29,16,13,26,11,14,8,11,12,11,28,32
29,5,3,emotion,情感,2 1 4 5 3,29,16,13,29,16,13,26,11,14,8,11,12,11,28,32
30,1,1,control,对照,1 2 5 4 3,28,19,9,26,24,2,42,12,6,12,6,10,4,13,23
30,2,2,concept,概念,1 2 5 4 3,30,19,11,26,24,2,42,12,6,12,6,10,4,13,23
30,3,5,environment,环境,1 2 5 4 3,30,19,11,26,24,2,42,12,6,12,6,10,4,13,23
30,4,4,behavior,行为,1 2 5 4 3,30,19,11,26,24,2,42,12,6,12,6,10,4,13,23
30,5,3,emotion,情感,1 2 5 4 3,30,19,11,26,24,2,42,12,6,12,6,10,4,13,23
31,1,4,behavior,行为,4 3 2 5 1,31,20,11,31,20,11,44,9,8,11,8,10,5,20,27
31,2,3,emotion,情感,4 3 2 5 1,31,20,11,31,20,11,44,9,8,11,8,10,5,20,27
31,3,2,concept,概念,4 3 2 5 1,32,19,13,31,20,11,44,9,8,11,8,10,5,20,27
31,4,5,environment,环境,4 3 2 5 1,31,20,11,31,20,11,44,9,8,11,8,10,5,20,27
31,5,1,control,对照,4 3 2 5 1,31,19,12,31,20,11,44,9,8,11,8,10,5,20,27
32,1,4,behavior,行为,4 3 5 2 1,30,15,15,28,18,11,42,10,6,7,12,10,10,25,25
32,2,3,emotion,情感,4 3 5 2 1,30,15,15,28,18,11,42,10,6,7,12,10,10,25,25
32,3,5,environment,环境,4 3 5 2 1,30,16,14,28,18,11,42,10,6,7,12,10,10,25,25
32,4,2,concept,概念,4 3 5 2 1,28,17,11,28,18,11,42,10,6,7,12,10,10,25,25
32,5,1,control,对照,4 3 5 2 1,28,17,11,28,18,11,42,10,6,7,12,10,10,25,25
