id,condition,pbs,presentation_order,pre_pbs,initial_nfc,autonomy_satisfaction,autonomy_frustration,competence_satisfaction,competence_frustration,relatedness_satisfaction,relatedness_frustration,normative_influence,informational_influence
29,emotion,68,5,33,26,11,14,8,11,12,11,28,32
29,behavior,63,3,33,26,11,14,8,11,12,11,28,32
29,environment,65,4,33,26,11,14,8,11,12,11,28,32
30,control,62,1,41,42,12,6,12,6,10,4,13,23
30,concept,70,2,41,42,12,6,12,6,10,4,13,23
30,emotion,70,5,41,42,12,6,12,6,10,4,13,23
30,behavior,70,4,41,42,12,6,12,6,10,4,13,23
30,environment,70,3,41,42,12,6,12,6,10,4,13,23
31,control,49,5,46,44,9,8,11,8,10,5,20,27
31,concept,50,3,46,44,9,8,11,8,10,5,20,27
31,emotion,53,2,46,44,9,8,11,8,10,5,20,27
31,behavior,49,1,46,44,9,8,11,8,10,5,20,27
31,environment,48,4,46,44,9,8,11,8,10,5,20,27
32,control,52,5,52,42,10,6,7,12,10,10,25,25
32,concept,56,4,52,42,10,6,7,12,10,10,25,25
32,emotion,55,2,52,42,10,6,7,12,10,10,25,25
32,behavior,56,1,52,42,10,6,7,12,10,10,25,25
32,environment,57,3,52,42,10,6,7,12,10,10,25,25
